                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3244,                 1.1899,                 1.4091,                0.67966,                0.84615,                0.79104,                0.50532,                 1.2502,                 1.2637,                 1.6853,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.3771,                 1.2547,                 1.4698,                0.80907,                0.80769,                0.90031,                0.54131,                 1.3589,                  1.095,                 1.6863,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.3092,                 1.1822,                 1.4356,                0.82222,                0.84615,                0.90298,                 0.6021,                 1.1192,                 1.1113,                 1.5253,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.3004,                 1.1487,                 1.4053,                0.74654,                0.76923,                 0.8303,                0.52632,                 1.2538,                  1.205,                 1.6069,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.4158,                  1.222,                 1.4415,                0.81766,                 0.8627,                0.93322,                 0.6239,                  1.229,                 1.0438,                 1.5638,               0.001806,               0.001806,               0.001806
                     52,                   1.27,                   1.16,                 1.4068,                0.87178,                0.78494,                0.88701,                0.54777,                 1.3812,                 1.1648,                  1.631,               0.001802,               0.001802,               0.001802
                     53,                 1.3313,                 1.1561,                 1.4145,                0.74068,                0.88462,                0.83437,                0.50333,                 1.4642,                 1.2028,                 1.7757,               0.001798,               0.001798,               0.001798
                     54,                 1.3685,                  1.258,                 1.4563,                0.77481,                0.79436,                0.81147,                 0.4994,                 1.2536,                 1.2061,                 1.6105,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.3125,                 1.1804,                 1.3702,                0.65461,                0.73077,                 0.7508,                0.48037,                 1.1655,                   1.38,                 1.5788,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.2701,                 1.1959,                 1.3625,                0.75349,                0.65385,                0.71626,                0.43316,                 1.4951,                 1.4628,                 1.8226,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.2822,                 1.1964,                    1.4,                0.84809,                0.88462,                0.90314,                0.56704,                 1.2569,                 1.1009,                 1.6102,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.2933,                 1.1665,                 1.3504,                0.81518,                0.84615,                0.91163,                0.58645,                 1.2702,                 1.0197,                 1.6708,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.3422,                 1.1783,                 1.4075,                0.92188,                0.90813,                0.93009,                0.57174,                 1.3452,                 1.0346,                 1.7552,              0.0017743,              0.0017743,              0.0017743
                     60,                 1.2742,                 1.0985,                 1.3368,                0.87845,                0.83423,                0.84888,                0.53922,                 1.4018,                 1.1851,                 1.7912,              0.0017703,              0.0017703,              0.0017703
                     61,                 1.2347,                  1.082,                 1.3502,                0.88595,                0.92308,                0.87671,                0.56629,                 1.3034,                 1.1575,                 1.6643,              0.0017664,              0.0017664,              0.0017664
                     62,                 1.2449,                 1.1256,                 1.3703,                0.85142,                0.80769,                0.86615,                0.50594,                 1.4059,                 1.1153,                 1.7353,              0.0017624,              0.0017624,              0.0017624
